146,"Montreal / Pierre Elliott Trudeau International Airport","Montreal","Canada","YUL","CYUL",45.4706001282,-73.7407989502,118,-5,"A","America/Toronto","airport","OurAirports"
193,"Lester B. Pearson International Airport","Toronto","Canada","YYZ","CYYZ",43.6772003174,-79.63059997559999,569,-5,"A","America/Toronto","airport","OurAirports"
302,"Brussels Airport","Brussels","Belgium","BRU","EBBR",50.901401519800004,4.48443984985,184,1,"E","Europe/Brussels","airport","OurAirports"
337,"Berlin-Schönefeld Airport","Berlin","Germany","SXF","EDDB",52.380001,13.5225,157,1,"E","Europe/Berlin","airport","OurAirports"
340,"Frankfurt am Main Airport","Frankfurt","Germany","FRA","EDDF",50.033333,8.570556,364,1,"E","Europe/Berlin","airport","OurAirports"
344,"Cologne Bonn Airport","Cologne","Germany","CGN","EDDK",50.8658981323,7.1427397728,302,1,"E","Europe/Berlin","airport","OurAirports"
345,"Düsseldorf Airport","Duesseldorf","Germany","DUS","EDDL",51.289501,6.76678,147,1,"E","Europe/Berlin","airport","OurAirports"
346,"Munich Airport","Munich","Germany","MUC","EDDM",48.353802,11.7861,1487,1,"E","Europe/Berlin","airport","OurAirports"
351,"Berlin-Tegel Airport","Berlin","Germany","TXL","EDDT",52.5597,13.2877,122,1,"E","Europe/Berlin","airport","OurAirports"
421,"Helsinki Vantaa Airport","Helsinki","Finland","HEL","EFHK",60.317199707031,24.963300704956,179,2,"E","Europe/Helsinki","airport","OurAirports"
478,"Manchester Airport","Manchester","United Kingdom","MAN","EGCC",53.35369873046875,-2.2749500274658203,257,0,"E","Europe/London","airport","OurAirports"
492,"London Luton Airport","London","United Kingdom","LTN","EGGW",51.874698638916016,-0.36833301186561584,526,0,"E","Europe/London","airport","OurAirports"
502,"London Gatwick Airport","London","United Kingdom","LGW","EGKK",51.148102,-0.190278,202,0,"E","Europe/London","airport","OurAirports"
507,"London Heathrow Airport","London","United Kingdom","LHR","EGLL",51.4706,-0.461941,83,0,"E","Europe/London","airport","OurAirports"
580,"Amsterdam Airport Schiphol","Amsterdam","Netherlands","AMS","EHAM",52.308601,4.76389,-11,1,"E","Europe/Amsterdam","airport","OurAirports"
609,"Copenhagen Kastrup Airport","Copenhagen","Denmark","CPH","EKCH",55.617900848389,12.656000137329,17,1,"E","Europe/Copenhagen","airport","OurAirports"
671,"Katowice International Airport","Katowice","Poland","KTW","EPKT",50.4743,19.08,995,1,"E","Europe/Warsaw","airport","OurAirports"
679,"Warsaw Chopin Airport","Warsaw","Poland","WAW","EPWA",52.1656990051,20.967100143399996,362,1,"E","Europe/Warsaw","airport","OurAirports"
737,"Stockholm-Arlanda Airport","Stockholm","Sweden","ARN","ESSA",59.651901245117,17.918600082397,137,1,"E","Europe/Stockholm","airport","OurAirports"
813,"OR Tambo International Airport","Johannesburg","South Africa","JNB","FAOR",-26.1392,28.246,5558,2,"U","Africa/Johannesburg","airport","OurAirports"
1107,"Addis Ababa Bole International Airport","Addis Ababa","Ethiopia","ADD","HAAB",8.97789001465,38.799301147499996,7630,3,"U","Africa/Addis_Ababa","airport","OurAirports"
1128,"Cairo International Airport","Cairo","Egypt","CAI","HECA",30.12190055847168,31.40559959411621,382,2,"U","Africa/Cairo","airport","OurAirports"
1194,"Sofia Airport","Sofia","Bulgaria","SOF","LBSF",42.696693420410156,23.411436080932617,1742,2,"E","Europe/Sofia","airport","OurAirports"
1197,"Larnaca International Airport","Larnaca","Cyprus","LCA","LCLK",34.875099182128906,33.624900817871094,8,2,"E","Asia/Nicosia","airport","OurAirports"
1218,"Barcelona International Airport","Barcelona","Spain","BCN","LEBL",41.2971,2.07846,12,1,"E","Europe/Madrid","airport","OurAirports"
1229,"Adolfo Suárez Madrid–Barajas Airport","Madrid","Spain","MAD","LEMD",40.471926,-3.56264,1998,1,"E","Europe/Madrid","airport","OurAirports"
1353,"Marseille Provence Airport","Marseille","France","MRS","LFML",43.439271922,5.22142410278,74,1,"E","Europe/Paris","airport","OurAirports"
1354,"Nice-Côte d'Azur Airport","Nice","France","NCE","LFMN",43.6584014893,7.215869903560001,12,1,"E","Europe/Paris","airport","OurAirports"
1382,"Charles de Gaulle International Airport","Paris","France","CDG","LFPG",49.012798,2.55,392,1,"E","Europe/Paris","airport","OurAirports"
1386,"Paris-Orly Airport","Paris","France","ORY","LFPO",48.7233333,2.3794444,291,1,"E","Europe/Paris","airport","OurAirports"
1423,"EuroAirport Basel-Mulhouse-Freiburg Airport","Mulhouse","France","BSL","LFSB",47.59,7.5291667,885,1,"E","Europe/Paris","airport","OurAirports"
1452,"Heraklion International Nikos Kazantzakis Airport","Heraklion","Greece","HER","LGIR",35.3396987915,25.180299758900002,115,2,"E","Europe/Athens","airport","OurAirports"
1489,"Budapest Liszt Ferenc International Airport","Budapest","Hungary","BUD","LHBP",47.42976,19.261093,495,1,"E","Europe/Budapest","airport","OurAirports"
1524,"Malpensa International Airport","Milano","Italy","MXP","LIMC",45.6306,8.72811,768,1,"E","Europe/Rome","airport","OurAirports"
1551,"Venice Marco Polo Airport","Venice","Italy","VCE","LIPZ",45.505299,12.3519,7,1,"E","Europe/Rome","airport","OurAirports"
1555,"Leonardo da Vinci–Fiumicino Airport","Rome","Italy","FCO","LIRF",41.8002778,12.2388889,13,1,"E","Europe/Rome","airport","OurAirports"
1561,"Naples International Airport","Naples","Italy","NAP","LIRN",40.886002,14.2908,294,1,"E","Europe/Rome","airport","OurAirports"
